file	wordpress_action	angle	step
ecommerce/main-black-bg-a.webp	replace_featured_image	A	step2
ecommerce/original-clean-a.webp	add_gallery_image	A	step1
ecommerce/original-clean-b.webp	add_gallery_image	B	step1
ecommerce/main-black-bg-b.webp	add_gallery_image	B	step2
gallery/luxury-promo-a.webp	add_gallery_image	A	step3
gallery/luxury-promo-b.webp	add_gallery_image	B	step3
gallery/on-finger-a.webp	add_gallery_image	A	step4
gallery/on-finger-b.webp	add_gallery_image	B	step4
gallery/extra-editorial-closeup.webp	add_gallery_image	A	extra
gallery/extra-premium-lifestyle.webp	add_gallery_image	A	extra
